Food Name,GI,Food Manufacturer,Product Category,Country of food production,Serving Size (g),Carbohydrate portion (g) or Average Carbohydrate portion (g),GL,Reference:,Subjects type,Time,Subjects Number,Year of test
"Blackbread, Riga (Berzin's Specialty Bakery, Sydney, Australia) #",76,,Breads,Australia,,15,11,"Brand, J.C., et al., The glycaemic and insulin indices of realistic meals and rye breads tested in healthy subjects. Diabetes, Nutrition & Metabolism, 1990. 3: p. 137-42.",Normal,2h,7,1989
"Bread, rye and whole wheat flours, enriched with 2% oat ß-glucan #",27,,Breads,Greece,,15,4,"Yanni, A.E., et al., Cr-enriched yeast: beyond fibers for the management of postprandial glycemic response to bread. European Journal of Nutrition, 2017. 56(4): p. 1445-1453.",Normal,2h,12,2015
"Bread, rye, made from 75% endosperm rye flour (Lantma?nnen R&D, Ja?rna, Sweden) and 25% wheat flour, frozen and thawed #",45,,Breads,Sweden,,15,7,"Rosen, L.A.H., et al., Endosperm and whole grain rye breads are characterized by low post-prandial insulin response and a beneficial blood glucose profile. Nutrition Journal, 2009. 8: p. 42.",Normal,3h,11,2005
"Bread, rye, made from endosperm rye flour (Lantma?nnen R&D, Ja?rna, Sweden) with lactic acid (88-92% extra purity, Riedel-de Hae?n, Morris Township, NJ, USA), frozen and thawed #",45,,Breads,Sweden,,15,7,"Rosen, L.A., E.M. Ostman, and I.M. Bjorck, Effects of cereal breakfasts on postprandial glucose, appetite regulation and voluntary energy intake at a subsequent standardized lunch; focusing on rye products. Nutrition Journal, 2011. 10: p. 7.",Normal,4.5h,10,2007
"Bread, rye made from endosperm rye flour (Lantma?nnen R&D, Ja?rna, Sweden), frozen and thawed #",55,,Breads,Sweden,,15,8,"Rosen, L.A., E.M. Ostman, and I.M. Bjorck, Effects of cereal breakfasts on postprandial glucose, appetite regulation and voluntary energy intake at a subsequent standardized lunch; focusing on rye products. Nutrition Journal, 2011. 10: p. 7.",Normal,4.5h,10,2007
"Dark rye bread, Schinkenbrot, Riga,  (Berzin's Specialty Bakery, Sydney, Australia) #",86,,Breads,Australia,,15,13,"Brand, J.C., et al., The glycaemic and insulin indices of realistic meals and rye breads tested in healthy subjects. Diabetes, Nutrition & Metabolism, 1990. 3: p. 137-42.",Normal,2h,7,1989
"Dark/Swiss rye, Bürgen™ (Tip Top Bakeries, Australia) #",55,,Breads,Australia,,15,8,"Perry, T., et al., Glycaemic index of New Zealand foods. New Zealand Medical Journal, 2000. 113(1108): p. 140-2.",Normal,2h,9,2000
"Dark/Swiss rye, Bürgen™ (Tip Top Bakeries, Australia) #",74,,Breads,Australia,,15,11,"Perry, T., et al., Glycaemic index of New Zealand foods. New Zealand Medical Journal, 2000. 113(1108): p. 140-2.",Type 2,3h,14,2000
"Light rye (Silverstein's Bakery, Toronto, Canada) #",69,,Breads,Canada,,15,10,"Wolever, T.M.S., et al., Glycaemic index of 102 complex carbohydrate foods in patients with diabetes. Nutrition Research, 1994. 14(5): p. 651-669.",Type 1 & Type 2,3h,12,1984-1992
"Linseed rye bread (Rudolph's Specialty Bakery Ltd., Toronto, Canada) #",55,,Breads,Canada,,15,8,"Wolever, T.M.S., et al., Glycaemic index of 102 complex carbohydrate foods in patients with diabetes. Nutrition Research, 1994. 14(5): p. 651-669.",Type 1 & Type 2,3h,9,1984-1992
"Rye bread, Roggenbrot, Vogel's (Stevns & Co, Sydney, NSW, Australia) #",59,,Breads,Australia,,15,9,"Brand-Miller, J., et al., In search of more low glycaemic index foods. Proceedings of the Nutrition Society, 1995. 19: p. 177.",Normal,2h,8,1995
Rye bread (50% rye flour + 50% wheat flour) #,51,,Breads,Turkey,,15,8,"Nehir El, S., Determination of glycemic index for some breads. Food chemistry, 1999. 67(1): p. 67-69.",Normal,2h,10,1998
Rye bread (80% rye flour + 20% oat ß-glucan concentrate) #,67,,Breads,Finland,,15,10,"Juntunen, K.S., et al., Postprandial glucose, insulin, and incretin responses to grain products in healthy subjects. The American Journal of Clinical Nutriiton, 2002. 75(2): p. 254-62.",Normal,3h6,20,2000
"Rye bread, made from 65% wheat flour and 35% rye bran (Lantma?nnen R&D, Ja?rna, Sweden) #",62,,Breads,Sweden,,15,9,"Rosen, L.A.H., et al., Endosperm and whole grain rye breads are characterized by low post-prandial insulin response and a beneficial blood glucose profile. Nutrition Journal, 2009. 8: p. 42.",Normal,3h,11,2005
Rye bread #,65,,Breads,South Korea,,15,10,"Kim, D.-Y., Y. Kim, and H. Lim, Glycaemic indices and glycaemic loads of common Korean carbohydrate-rich foods. British Journal of Nutrition, 2019. 121(4): p. 416-425.",Normal,2h,10,2018
Sourdough rye bread #,59,,Breads,Canada,,15,9,"Jenkins, D.J., et al., Low glycemic index carbohydrate foods in the management of hyperlipidemia. The American Journal of Clinical Nutrition, 1985. 42(4): p. 604-617.",Type 2,3h,13,1984
Wheat and rye bread (75% wheat flour + 10% rye flour + 15% wheat bran) #,40,,Breads,Turkey,,15,6,"Nehir El, S., Determination of glycemic index for some breads. Food chemistry, 1999. 67(1): p. 67-69.",Normal,2h,10,1998
50% cracked wheat kernel #,59,,Breads,Canada,,15,9,"Jenkins, D.J., et al., Wholemeal versus wholegrain breads: proportion of whole or cracked grain and the glycaemic response. British Medical Journal (Clinical Research Edition), 1988. 297(6654): p. 958-60.",Type 2,3h,6,1988
75% cracked wheat kernels #,49,,Breads,Canada,,15,7,"Jenkins, D.J., et al., Wholemeal versus wholegrain breads: proportion of whole or cracked grain and the glycaemic response. British Medical Journal (Clinical Research Edition), 1988. 297(6654): p. 958-60.",Type 2,3h,6,1988
"Coarse wheat kernel bread, 80% intact kernels and 20% white wheat flour #",52,,Breads,Sweden,,15,8,"Liljeberg, H., Y. Granfeldt, and I. Björck, Metabolic responses to starch in bread containing intact kernels versus milled flour. European Jounral of Clinical Nutrition, 1992. 46(8): p. 561-75.",Normal,2h,10,1991
White bread #,63,,Breads,Canada,,15,9,"Lan-Pidhainy, X. and T.M.S. Wolever, Are the glycemic and insulinemic index values of carbohydrate foods similar in healthy control, hyperinsulinemic and type 2 diabetic patients? European Journal of Clinical Nutrition, 2011. 65(6): p. 727-34.",Normal,2h,9,2011
White bread #,64,,Breads,Spain,,15,10,"Ferrer-Mairal, A., et al., In vitro and in vivo assessment of the glycemic index of bakery products: influence of the reformulation of ingredients. European Journal of Nutrition, 2012. 51(8): p. 947-54.",Normal,2h,8,2009
White bread #,67,,Breads,China,,15,10,"Lu, F., Y. Liu, and B. Li, Okara dietary fiber and hypoglycemic effect of okara foods. Bioactive Carbohydrates and Dietary Fibre, 2013. 2(2): p. 126-132.",Normal,2h,10,2013
"White bread, refined #",68,,Breads,India,,15,10,"Chhavi, A. and S. Sarita, Evaluation of composite millet breads for sensory and nutritional qualities and glycemic response. Malaysian Journal of Nutrition, 2012. 18(1): p. 89-101.",Normal,2.5h,10,2012
White bread #,69,,Breads,Thailand,,15,10,"Chusak, C., et al., Postprandial glycemia, insulinemia, and antioxidant status in healthy subjects after ingestion of bread made from anthocyanin-rich riceberry rice. Nutrients, 2020. 12(3): p. 782.",Normal,3h,16,2020
White bread #,69,,Breads,Canada,,15,10,"Jenkins, D.J., et al., Glycemic index of foods: a physiological basis for carbohydrate exchange. The American Journal of Clinical Nutrition, 1981. 34(3): p. 362-6.",Normal,2h,10,1981
White bread #,70,,Breads,Canada,,15,11,"Lan-Pidhainy, X. and T.M.S. Wolever, Are the glycemic and insulinemic index values of carbohydrate foods similar in healthy control, hyperinsulinemic and type 2 diabetic patients? European Journal of Clinical Nutrition, 2011. 65(6): p. 727-34.",High fast insulin,2h,12,2011
White bread #,70,,Breads,USA,,15,11,"Crapo, P.A., et al., Postprandial hormonal responses to different types of complex carbohydrate in individuals with impaired glucose tolerance. The American Journal of Clinical Nutriiton, 1980. 33(8): p. 1723-8.",Type 2 & IGT,3h6,5 & 6,1980
White bread #,71,,Breads,Canada,,15,11,"Lan-Pidhainy, X. and T.M.S. Wolever, Are the glycemic and insulinemic index values of carbohydrate foods similar in healthy control, hyperinsulinemic and type 2 diabetic patients? European Journal of Clinical Nutrition, 2011. 65(6): p. 727-34.",Type 2,3h,10,2011
"White bread (Dempster's Corporate Foods Ltd., Canada) #",72,,Breads,Canada,,15,11,"Wolever, T.M.S., et al., Glycaemic index of 102 complex carbohydrate foods in patients with diabetes. Nutrition Research, 1994. 14(5): p. 651-669.",Type 1 & Type 2,3h,12,1984-1992
White bread #,71,,Breads,South Africa,,15,11,"Walker, A.R. and B.F. Walker, Glycaemic index of South African foods determined in rural blacks--a population at low risk of diabetes. Human Nutrition. Clinical Nutrition, 1984. 38(3): p. 215-22.",Normal young adult 17-18 y),2h,7,1984
White bread #,71,,Breads,South Korea,,15,11,"Kim, D.-Y., Y. Kim, and H. Lim, Glycaemic indices and glycaemic loads of common Korean carbohydrate-rich foods. British Journal of Nutrition, 2019. 121(4): p. 416-425.",Normal,2h,10,2018
White bread #,72,,Breads,Canada,,15,11,"Jenkins, D.J.A., et al., The glycaemic index of foods tested in diabetic patients: A new basis for carbohydrate exchange favouring the use of legumes. Diabetologia, 1983. 24(4): p. 257-264.",Type 2,3h,6,1983
White bread #,72,,Breads,Italy,,15,11,"De Angelis, M., et al., Use of sourdough lactobacilli and oat fibre to decrease the glycaemic index of white wheat bread. British Journal of Nutrition, 2007. 98(6): p. 1196-1205.",Normal,2h,15,2006
White bread #,76,,Breads,Italy,,15,11,"Marangoni, F. and A. Poli, The glycemic index of bread and biscuits is markedly reduced by the addition of a proprietary fiber mixture to the ingredients. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2008. 18(9): p. 602-5.",Normal,2h,15,2007
"White bread, commercially-manufactured #",77,,Breads,Sri Lanka,,15,12,"Hettiaratchi, U.P.K., S. Ekanayake, and J. Welihinda, Glycaemic indices of three Sri Lankan wheat bread varieties and a bread-lentil meal. International Journal of Food Sciences and Nutrition, 2009. 60 Suppl 4: p. 21-30.",Normal,2h,10,2009
White bread #,78,,Breads,Israel,,15,12,"Lock, D.R., et al., Glycemic indices of various foods given to pregnant diabetic subjects. Obstetrics and Gynecology, 1988. 71(2): p. 180-3.",GDM,2h,8,1988
White bread #,80,,Breads,Sri Lanka,,15,12,"Hettiaratchi, U.P.K., S. Ekanayake, and J. Welihinda, Glycaemic indices of three Sri Lankan wheat bread varieties and a bread-lentil meal. International Journal of Food Sciences and Nutrition, 2009. 60 Suppl 4: p. 21-30.",Normal,2h,10,2009
"White bread (Hovis Classic, British Bakeries Ltd, UK) #",87,,Breads,UK,,15,13,"Burton, P. and H.J. Lightowler, The impact of freezing and toasting on the glycaemic response of white bread. European Journal of Clinical Nutrition, 2008. 62(5): p. 594-599.",Normal,2h9,10,2006
"White bread, homemade #",89,,Breads,UK,,15,13,"Burton, P. and H.J. Lightowler, The impact of freezing and toasting on the glycaemic response of white bread. European Journal of Clinical Nutrition, 2008. 62(5): p. 594-599.",Normal,2h9,10,2006
White bread #,89,,Breads,Italy,,15,13,"Cavallero, A., et al., High (1?3,1?4)-?-Glucan Barley Fractions in Bread Making and their Effects on Human Glycemic Response. Journal of Cereal Science, 2002. 36(1): p. 59-66.",Normal,2h,8,2001
White bread #,93,,Breads,Czech Republic,,15,14,"Fajkusova, Z., et al., Glycaemic index of selected foodstuffs in healthy persons. Biomedical Papers of the Medical Faculty of the University Palacky, Olomouc, Czech Republic, 2007. 151(2): p. 257-61.",Normal,2h,20,2007
White bread #,94,,Breads,Nigeria,,15,14,"Okafor, E.N., et al., Cassava Flour Substitution Modulates Glycemic Responses and Glycemic Index of Wheat Breads in Apparent Healthy Volunteers. Journal of Dietary Supplements, 2017. 14(4): p. 446-452.",Normal,2h,250,2017
White bread with butter incorporated into dough #,59,,Breads,Singapore,,15,9,"Lau, E., W. Zhou, and C.J. Henry, Effect of fat type in baked bread on amylose-lipid complex formation and glycaemic response. British Journal of Nutrition, 2016. 115(12): p. 2122-9.",Normal,3h6,15,2015
White bread with coconut oil incorporated into dough #,52,,Breads,Singapore,,15,8,"Lau, E., W. Zhou, and C.J. Henry, Effect of fat type in baked bread on amylose-lipid complex formation and glycaemic response. British Journal of Nutrition, 2016. 115(12): p. 2122-9.",Normal,3h6,15,2015
White bread with grapeseed oil incorporated into dough #,59,,Breads,Singapore,,15,9,"Lau, E., W. Zhou, and C.J. Henry, Effect of fat type in baked bread on amylose-lipid complex formation and glycaemic response. British Journal of Nutrition, 2016. 115(12): p. 2122-9.",Normal,3h6,15,2015
White bread with olive oil incorporated into dough #,55,,Breads,Singapore,,15,8,"Lau, E., W. Zhou, and C.J. Henry, Effect of fat type in baked bread on amylose-lipid complex formation and glycaemic response. British Journal of Nutrition, 2016. 115(12): p. 2122-9.",Normal,3h6,15,2015
"White bread, frozen and defrosted (British Bakeries Ltd, UK) #",75,,Breads,UK,,15,11,"Burton, P. and H.J. Lightowler, The impact of freezing and toasting on the glycaemic response of white bread. European Journal of Clinical Nutrition, 2008. 62(5): p. 594-599.",Normal,2h9,10,2006
"White bread, homemade, frozen and defrosted #",62,,Breads,UK,,15,9,"Burton, P. and H.J. Lightowler, The impact of freezing and toasting on the glycaemic response of white bread. European Journal of Clinical Nutrition, 2008. 62(5): p. 594-599.",Normal,2h9,10,2006
"Bread, made from 100% white wheat flour, frozen and thawed #",83,,Breads,Italy,,15,12,"Finocchiaro, F., et al., Effects of barley beta-glucan-enriched flour fractions on the glycaemic index of bread. International Journal of Food Sciences and Nutrition, 2012. 63(1): p. 23-9.",Normal,2h,9,2011
"White wheat bread, frozen, defrosted and toasted (British Bakeries Ltd, UK) #",64,,Breads,UK,,15,10,"Burton, P. and H.J. Lightowler, The impact of freezing and toasting on the glycaemic response of white bread. European Journal of Clinical Nutrition, 2008. 62(5): p. 594-599.",Normal,2h9,10,2006
"White bread, homemade, frozen, defrosted and toasted #",54,,Breads,UK,,15,8,"Burton, P. and H.J. Lightowler, The impact of freezing and toasting on the glycaemic response of white bread. European Journal of Clinical Nutrition, 2008. 62(5): p. 594-599.",Normal,2h9,10,2006
"Bread, made from wheat flour, steamed #",86,,Breads,China,,15,13,"Lu, F., Y. Liu, and B. Li, Okara dietary fiber and hypoglycemic effect of okara foods. Bioactive Carbohydrates and Dietary Fibre, 2013. 2(2): p. 126-132.",Normal,2h,10,2013
"Bread, made from mixed white wheat flour (50% Shi4185 and 50% Shixin733 flours), steamed for 20 min #",93,,Breads,China,,15,14,"Su-Que, L., et al., Effect of consumption of micronutrient enriched wheat steamed bread on postprandial plasma glucose in healthy and type 2 diabetic subjects. Nutrition Journal, 2013. 12: p. 64.",Normal,2h,10,2012
"White bread, fresh, toasted (British Bakeries Ltd, UK) #",63,,Breads,UK,,15,9,"Burton, P. and H.J. Lightowler, The impact of freezing and toasting on the glycaemic response of white bread. European Journal of Clinical Nutrition, 2008. 62(5): p. 594-599.",Normal,2h9,10,2006
"White bread, homemade, fresh, toasted #",66,,Breads,UK,,15,10,"Burton, P. and H.J. Lightowler, The impact of freezing and toasting on the glycaemic response of white bread. European Journal of Clinical Nutrition, 2008. 62(5): p. 594-599.",Normal,2h9,10,2006
"White wheat flour bread, hard, toasted #",74,,Breads,Italy,,15,11,"Giacco, R., et al., Characteristics of some wheat-based foods of the Italian diet in relation to their influence on postprandial glucose metabolism in patients with type 2 diabetes. British Journal of Nutrition, 2001. 85(1): p. 33-40.",Type 2,3h,9,1999
"Bread, made from wheat flour and 10% cassava flour #",93,,Breads,Nigeria,,15,14,"Okafor, E.N., et al., Cassava Flour Substitution Modulates Glycemic Responses and Glycemic Index of Wheat Breads in Apparent Healthy Volunteers. Journal of Dietary Supplements, 2017. 14(4): p. 446-452.",Normal,2h,250,2017
"Bread, made from wheat flour and 15% cassava flour #",91,,Breads,Nigeria,,15,14,"Okafor, E.N., et al., Cassava Flour Substitution Modulates Glycemic Responses and Glycemic Index of Wheat Breads in Apparent Healthy Volunteers. Journal of Dietary Supplements, 2017. 14(4): p. 446-452.",Normal,2h,250,2017
"Bread, made from wheat flour and 20% cassava flour #",92,,Breads,Nigeria,,15,14,"Okafor, E.N., et al., Cassava Flour Substitution Modulates Glycemic Responses and Glycemic Index of Wheat Breads in Apparent Healthy Volunteers. Journal of Dietary Supplements, 2017. 14(4): p. 446-452.",Normal,2h,250,2017
White bread containing 7 g whole Salba #,63,,Breads,Canada,,15,9,"Ho, H., et al., Effect of whole and ground Salba seeds (Salvia Hispanica L.) on postprandial glycemia in healthy volunteers: a randomized controlled, dose-response trial. European Journal of Clinical Nutrition, 2013. 67(7): p. 786-8.",Normal,2h9,13,2013
White bread containing 15 g whole Salba #,56,,Breads,Canada,,15,8,"Ho, H., et al., Effect of whole and ground Salba seeds (Salvia Hispanica L.) on postprandial glycemia in healthy volunteers: a randomized controlled, dose-response trial. European Journal of Clinical Nutrition, 2013. 67(7): p. 786-8.",Normal,2h9,13,2013
White bread containing 24 g whole Salba #,54,,Breads,Canada,,15,8,"Ho, H., et al., Effect of whole and ground Salba seeds (Salvia Hispanica L.) on postprandial glycemia in healthy volunteers: a randomized controlled, dose-response trial. European Journal of Clinical Nutrition, 2013. 67(7): p. 786-8.",Normal,2h9,13,2013
White bread containing 7 g ground Salba #,63,,Breads,Canada,,15,9,"Ho, H., et al., Effect of whole and ground Salba seeds (Salvia Hispanica L.) on postprandial glycemia in healthy volunteers: a randomized controlled, dose-response trial. European Journal of Clinical Nutrition, 2013. 67(7): p. 786-8.",Normal,2h9,13,2013
White bread containing 15 g ground Salba #,59,,Breads,Canada,,15,9,"Ho, H., et al., Effect of whole and ground Salba seeds (Salvia Hispanica L.) on postprandial glycemia in healthy volunteers: a randomized controlled, dose-response trial. European Journal of Clinical Nutrition, 2013. 67(7): p. 786-8.",Normal,2h9,13,2013
White bread containing 24 g ground Salba #,56,,Breads,Canada,,15,8,"Ho, H., et al., Effect of whole and ground Salba seeds (Salvia Hispanica L.) on postprandial glycemia in healthy volunteers: a randomized controlled, dose-response trial. European Journal of Clinical Nutrition, 2013. 67(7): p. 786-8.",Normal,2h9,13,2013
"Bread, made from 90% wheat flour and 10% jatoba?-do-cerrado (Hymenaea stigonocarpa Mart.) flour #",63,,Breads,Brazil,,15,9,"Pereira Silva, C., et al., Identification and action of phenolic compounds of Jatoba-do-cerrado (Hymenaea stignocarpa Mart.) on alpha-amylase and alpha-glucosidase activities and flour effect on glycemic response and nutritional quality of breads. Food Research International, 2019. 116: p. 1076-1083.",Normal,2h,11,2018
"Bread, made from 80% wheat flour and 20% jatoba?-do-cerrado (Hymenaea stigonocarpa Mart.) flour #",54,,Breads,Brazil,,15,8,"Pereira Silva, C., et al., Identification and action of phenolic compounds of Jatoba-do-cerrado (Hymenaea stignocarpa Mart.) on alpha-amylase and alpha-glucosidase activities and flour effect on glycemic response and nutritional quality of breads. Food Research International, 2019. 116: p. 1076-1083.",Normal,2h,11,2018
"Bread, made from 70% wheat flour and 30% jatoba?-do-cerrado (Hymenaea stigonocarpa Mart.) flour #",57,,Breads,Brazil,,15,9,"Pereira Silva, C., et al., Identification and action of phenolic compounds of Jatoba-do-cerrado (Hymenaea stignocarpa Mart.) on alpha-amylase and alpha-glucosidase activities and flour effect on glycemic response and nutritional quality of breads. Food Research International, 2019. 116: p. 1076-1083.",Normal,2h,11,2018
Bread made from 30% finger millet (VL-146) flour and 70% refined wheat flour16 #,41,,Breads,India,,15,6,"Chhavi, A. and S. Sarita, Evaluation of composite millet breads for sensory and nutritional qualities and glycemic response. Malaysian Journal of Nutrition, 2012. 18(1): p. 89-101.",Normal,2.5h,10,2012
Bread made from 30% finger millet (PRM-601) flour and 70% refined wheat flour #,43,,Breads,India,,15,6,"Chhavi, A. and S. Sarita, Evaluation of composite millet breads for sensory and nutritional qualities and glycemic response. Malaysian Journal of Nutrition, 2012. 18(1): p. 89-101.",Normal,2.5h,10,2012
Bread made from 30% foxtail millet flour and 70% refined wheat flour #,50,,Breads,India,,15,8,"Chhavi, A. and S. Sarita, Evaluation of composite millet breads for sensory and nutritional qualities and glycemic response. Malaysian Journal of Nutrition, 2012. 18(1): p. 89-101.",Normal,2.5h,10,2012
White bread roll + 3 mg trestatin (pancreatic alpha-amylase inhibitor) #,48,,Breads,Switzerland,,15,7,"Golay, A., et al., Effect of trestatin, an amylase inhibitor, incorporated into bread, on glycemic responses in normal and diabetic patients. The American Journal of Clinical Nutriiton, 1991. 53(1): p. 61-5.",Type 2,4h21,6,1990
White bread roll + 6 mg trestatin #,29,,Breads,Switzerland,,15,4,"Golay, A., et al., Effect of trestatin, an amylase inhibitor, incorporated into bread, on glycemic responses in normal and diabetic patients. The American Journal of Clinical Nutriiton, 1991. 53(1): p. 61-5.",Type 2,4h21,6,1990
White bread roll + 3 mg trestatin (pancreatic alpha-amylase inhibitor) #,40,,Breads,Switzerland,,15,6,"Golay, A., et al., Effect of trestatin, an amylase inhibitor, incorporated into bread, on glycemic responses in normal and diabetic patients. The American Journal of Clinical Nutriiton, 1991. 53(1): p. 61-5.",Normal,4h21,6,1990
White bread roll + 6 mg trestatin #,42,,Breads,Switzerland,,15,6,"Golay, A., et al., Effect of trestatin, an amylase inhibitor, incorporated into bread, on glycemic responses in normal and diabetic patients. The American Journal of Clinical Nutriiton, 1991. 53(1): p. 61-5.",Normal,4h21,6,1990
"White bread, enriched with 9 g lupin kernel fiber (viscous insoluble fiber) (Australasian Natural Ingredients Pty Ltd, Perth, Australia) #",75,,Breads,Australia,,15,11,"Johnson, S.K., et al., Sensory acceptability of white bread with added Australian sweet lupin (Lupinus angustifolius) kernel fibre and its glycaemic and insulinaemic responses when eaten as a breakfast. Journal of the Science of Food and Agriculture, 2003. 83(13): p. 1366-1372.",Normal,2h,21,2002
"Wonderwhite™, resistant starch-enriched bread (Buttercup Bakeries, Australia) #",80,,Breads,Australia,,15,12,"Brand-Miller, J., et al., In search of more low glycaemic index foods. Proceedings of the Nutrition Society, 1995. 19: p. 177.",Normal,2h,8,1995
White bread with added wheatgerm and fiber #,49,,Breads,UK,,15,7,"Henry, C.J.K., et al., Glycaemic index and glycaemic load values of cereal products and weight-management meals available in the UK. British Journal of Nutrition, 2007. 98(1): p. 147-153.",Normal,2h,10,2006
"Bread, made with 50% wheat flour, 6% added resistant starch (ActiStar 11700, Cargill, France) and 3% dextrins (Nutriose FB076, Roquette, France) #",60,,Breads,Spain,,15,9,"Ferrer-Mairal, A., et al., In vitro and in vivo assessment of the glycemic index of bakery products: influence of the reformulation of ingredients. European Journal of Nutrition, 2012. 51(8): p. 947-54.",Normal,2h,8,2009
"White, high-fiber (Dempster's Corporate Foods Ltd., Canada) #",68,,Breads,Canada,,15,10,"Wolever, T.M.S., et al., Glycaemic index of 102 complex carbohydrate foods in patients with diabetes. Nutrition Research, 1994. 14(5): p. 651-669.",Type 1 & Type 2,3h,13,1984-1992
"White, high-fiber (Weston's Bakery, Toronto, Canada) #",70,,Breads,Canada,,15,11,"Wolever, T.M.S., et al., Glycaemic index of 102 complex carbohydrate foods in patients with diabetes. Nutrition Research, 1994. 14(5): p. 651-669.",Type 1 & Type 2,3h,12,1984-1992
"Bread, made from wheat flour and freeze-dried okara, a by-product of soy beans (Glycine max L.) #",49,,Breads,China,,15,7,"Lu, F., Y. Liu, and B. Li, Okara dietary fiber and hypoglycemic effect of okara foods. Bioactive Carbohydrates and Dietary Fibre, 2013. 2(2): p. 126-132.",Normal,2h,10,2013
"Bread, steamed, made from wheat flour and freeze-dried okara, a soy bean by-product (Glycine max L.) #",54,,Breads,China,,15,8,"Lu, F., Y. Liu, and B. Li, Okara dietary fiber and hypoglycemic effect of okara foods. Bioactive Carbohydrates and Dietary Fibre, 2013. 2(2): p. 126-132.",Normal,2h,10,2013
"Bread, white, enriched with fiber blend (70% inulin, 20% guar gum, 5% glucomannan and 5% wheat fiber) #",60,,Breads,Italy,,15,9,"Marangoni, F. and A. Poli, The glycemic index of bread and biscuits is markedly reduced by the addition of a proprietary fiber mixture to the ingredients. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2008. 18(9): p. 602-5.",Normal,2h,15,2007
"Bread, made from wheat flour with 2.25 g oat ß-glucan incorporated into the test portion (5 g oat ß-glucan/100 g wheat flour), steamed #",53,,Breads,China,,15,8,"Wang, L., et al., The effects of oat beta-glucan incorporation on the quality, structure, consumer acceptance and glycaemic response of steamed bread. Journal of Texture Studies, 2017. 48(6): p. 562-570.",Normal,2h9,10,2016
"White bread, enriched with 12 g Arabinoxylan fiber (soluble fiber), lightly toasted #",42,,Breads,Australia,,15,6,"Lu, Z.X., et al., Arabinoxylan fiber, a byproduct of wheat flour processing, reduces the postprandial glucose response in normoglycemic subjects. The American Journal of Clinical Nutrition, 2000. 71(5): p. 1123-1128.",Normal,2h,14,1999
"White bread, enriched with 6 g Arabinoxylan fiber (soluble fiber), lightly toasted #",57,,Breads,Australia,,15,9,"Lu, Z.X., et al., Arabinoxylan fiber, a byproduct of wheat flour processing, reduces the postprandial glucose response in normoglycemic subjects. The American Journal of Clinical Nutrition, 2000. 71(5): p. 1123-1128.",Normal,2h,14,1999
White bread + 15 g psyllium fiber (Plantago psyllium) #,66,,Breads,Mexico,,15,10,"Frati Munari, A.C., et al., Lowering glycemic index of food by acarbose and Plantago psyllium mucilage. Archives of Medical Research, 1998. 29(2): p. 137-141.",Normal,3h,10,1998
White bread + 15 g psyllium fiber (Plantago psyllium)  #,42,,Breads,Mexico,,15,6,"Frati Munari, A.C., et al., Lowering glycemic index of food by acarbose and Plantago psyllium mucilage. Archives of Medical Research, 1998. 29(2): p. 137-141.",Type 2,3h,12,1998
"Bread, made with 40% ß-glucan-enriched barley flour (Priora hull-less, 11.2% ß-glucan, high amylose) and 60% white wheat flour, frozen and thawed #",57,,Breads,Italy,,15,9,"Finocchiaro, F., et al., Effects of barley beta-glucan-enriched flour fractions on the glycaemic index of bread. International Journal of Food Sciences and Nutrition, 2012. 63(1): p. 23-9.",Normal,2h,9,2011
"Bread, made with 40% ß-glucan-enriched barley waxy flour (CDC Alamo, hull-less and waxy, 15.6% ß-glucan, low amylose) and 60% white wheat flour, frozen and thawed #",70,,Breads,Italy,,15,11,"Finocchiaro, F., et al., Effects of barley beta-glucan-enriched flour fractions on the glycaemic index of bread. International Journal of Food Sciences and Nutrition, 2012. 63(1): p. 23-9.",Normal,2h,9,2011
"Bread, white, wheat, enriched with barley dietary fiber (Lyckeby Starkelsen, Kristianstad, Sweden) #",66,,Breads,Sweden,,15,10,"Nilsson, A.C., et al., Effect of cereal test breakfasts differing in glycemic index and content of indigestible carbohydrates on daylong glucose tolerance in healthy subjects. The American Journal of Clinical Nutrition, 2008. 87(3): p. 645-54.",Normal,2h,12,2007
"Bread, made from Hi-Maize® whole grain corn flour (Ingredion, Bridgewater, NJ, USA), white wheat flour and 3% added medium molecular weight guar gum (MEYPRODOR®50, Danisco A/S, Denmark), prepared in an automatic bread machine, frozen and thawed #",62,,Breads,Sweden,,15,9,"Ekstrom, L.M.N.K., I.M.E. Bjorck, and E.M. Ostman, On the possibility to affect the course of glycaemia, insulinaemia, and perceived hunger/satiety to bread meals in healthy volunteers. Food & Function, 2013. 4(4): p. 522-9.",Normal,3h14,10,2010
"Bread, made from Hi-Maize® wholegrain corn flour (Ingredion, Bridgewater, NJ, USA), white wheat flour and 6% added medium molecular weight guar gum (MEYPRODOR®50, Danisco A/S, Denmark), prepared in an automatic bread machine, frozen and thawed #",42,,Breads,Sweden,,15,6,"Ekstrom, L.M.N.K., I.M.E. Bjorck, and E.M. Ostman, On the possibility to affect the course of glycaemia, insulinaemia, and perceived hunger/satiety to bread meals in healthy volunteers. Food & Function, 2013. 4(4): p. 522-9.",Normal,3h14,10,2010
